기업명,가공,전처리,품질,코딩,시각화,정보추출또는조합,태깅또는라벨링,분석,k
위즈코어 주식회사,O,O,O,O,O,O,O,O,8
주식회사 엘렉시,O,O,X,O,O,O,O,O,7
주식회사 나두모두,O,O,O,O,O,O,X,O,7
블루어드에임즈 주식회사,O,O,O,O,O,O,O,O,8
주식회사 니어네트웍스,O,O,O,X,O,O,O,O,7
주식회사 디스에이블드,O,O,O,O,O,O,O,O,8
(주)빅링크에이아이,O,O,O,O,O,O,O,O,8
스마트마인드에이아이 주식회사,O,X,X,X,O,X,X,O,3
주식회사 로컬앤컴퍼니,O,O,X,X,O,X,X,X,3
주식회사 윤즈정보개발,O,O,O,O,X,O,O,X,6
베르안,O,O,O,O,O,O,O,O,8
(주)블릭스랩스(blixlabsCorp.),O,O,O,X,O,X,O,O,6
(주)그노티,O,O,X,O,O,O,O,O,7
주)리빈에이아이,O,O,O,O,O,X,O,O,7
주식회사팀리부뜨,O,O,O,X,O,O,X,O,6
(주)올아이원,O,O,X,X,O,X,O,O,5
(주)비츠에스앤지,O,O,O,O,O,O,O,O,8
주식회사 캐롯아이,O,O,O,X,O,O,O,O,7
(주)스카이오션테크놀(BizBank)008802820210120188030279,O,O,O,O,X,O,O,O,7
이지앤웰니스(주),O,O,O,O,O,O,O,O,8
주식회사 지투시그마,X,X,X,X,X,X,X,X,0
주식회사 팹스넷,O,X,X,O,O,X,X,X,3
주식회사 렛서,O,X,X,X,X,O,O,O,4
에이닷 주식회사,O,O,O,O,O,O,O,O,8
주식회사 나눔비타민,O,O,X,X,X,O,X,X,3
주식회사 고은,O,O,X,O,O,X,X,O,5
(주)에이다플렛폼,O,O,O,O,O,O,X,O,7
(주)라임프렌즈승인,O,O,O,O,O,O,O,O,8
(주)카라멜라,O,O,O,O,O,O,O,O,8
(주)옵티로,O,O,O,X,O,X,X,O,5
기획공방_0001464835,O,O,X,X,X,O,X,X,3
그린다에이아이,O,O,O,O,X,X,O,X,5
(주)켐토피아,X,X,X,X,X,X,X,X,0
(주)리본케어,X,X,X,X,X,X,X,X,0
주식회사 이빗(EBIT)00200262020102820291227,O,O,O,O,X,O,O,O,7
주식회사 온아웃,O,O,X,X,O,O,O,O,6
주식회사 셀키에이아이,O,O,X,X,O,O,X,O,5
롤랑 유한책임회사 (ROLLAND),O,O,O,O,O,O,O,O,8
주식회사 메디아이플러스,O,O,O,X,O,O,O,O,7
바운드포 주식회사,O,O,O,X,X,O,O,X,5
[주]인덱스리서치(INDEX RESEARCH)003768120240906000375,O,O,O,O,O,O,O,O,8
주식회사 아이클레이브,O,O,O,O,O,O,O,O,8
주식회사 씨바이오테크,O,O,X,X,O,O,O,O,6
주식회사 도레미파,O,O,O,O,O,O,O,O,8
주식회사 노타,O,X,X,X,X,X,X,O,2
주식회사 스마트고,O,O,O,O,O,O,X,O,7
(주)플랜아이,O,O,O,O,O,O,O,O,8
캣벨컴퍼니 주식회사,O,O,O,O,O,O,O,O,8
(주)로지체인,O,O,X,X,X,O,O,X,4
주식회사 데이타몬드,O,O,O,X,X,X,O,O,5
주식회사 배터랩,O,O,O,O,O,O,O,O,8
인포마,O,O,O,O,O,O,X,O,7
(주)밀리하우스(milyhouseco)008102320220426181002428,O,O,O,O,O,X,X,O,6
주식회사 하이스트레인저,O,O,O,X,O,O,O,O,7
(주)딥서치,O,O,X,X,X,O,O,O,5
주식회사 원라인에이아이,O,O,O,X,O,X,O,O,6
(주)메타큐랩,O,O,O,O,O,O,O,O,8
주식회사 세이프모션,O,O,O,O,O,O,O,O,8
비젠트로(주),O,O,O,O,O,X,X,O,6
주식회사 모리,O,O,X,X,X,O,O,X,4
주식회사 아크론,O,O,O,O,O,O,O,O,8
주식회사 필굿,O,O,O,O,X,O,O,O,7
(주)로켓툴즈(rockettools)0004056H002634936,O,O,O,X,O,O,X,O,6
주식회사 트랙팜,O,O,O,O,O,O,O,O,8
주식회사 컴포랩스,O,O,O,O,O,O,O,O,8
주식회사 위밋모빌리티,O,O,X,X,O,O,O,O,6
스마트쿱(주),O,O,O,X,O,X,O,O,6
(주)이지에이아이,O,O,O,O,O,O,O,O,8
(주)에이비씨랩스,O,O,O,O,O,O,O,O,8
넷플러스(주),O,O,O,O,O,X,O,O,7
주식회사 대교씨엔에스,O,O,O,O,O,O,O,O,8
랩포디엑스,O,O,O,O,O,O,O,O,8
(주)디엠티랩스,O,O,O,O,O,O,O,O,8
주식회사 프리픽스,O,O,O,O,O,O,O,O,8
R2C 컴퍼니,O,O,O,O,O,O,O,O,8
재단법인 행복아이씨티,O,O,X,X,X,X,O,X,3
주식회사 프렌츠,O,O,O,O,O,O,O,O,8
디블록스,X,X,X,X,X,X,X,X,0
특허법인 해안,O,X,X,X,X,X,X,O,2
(주)제핏,O,O,X,X,O,O,O,O,6
(주)써니마인드,O,O,O,O,O,O,O,O,8
(주)버즈니(BUZZNI)0020680201108312540725,O,O,O,O,O,O,O,O,8
에이플라 주식회사,O,O,O,O,O,O,O,X,7
주식회사 에이아이웍스,O,O,O,O,O,O,O,O,8
