기업명,제공 서비스 분야,일치 키워드 수,일치도(%),가공,전처리,품질,코딩,시각화,정보추출또는조합,태깅또는라벨링,분석
다겸 주식회사,15,8,100.0,O,O,O,O,O,O,O,O
위즈코어 주식회사,119,8,100.0,O,O,O,O,O,O,O,O
성균관대학교산학협력단,12,8,100.0,O,O,O,O,O,O,O,O
(주)소프트윙스,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 아이씨티피플,10,8,100.0,O,O,O,O,O,O,O,O
주식회사 새론솔루션,7,8,100.0,O,O,O,O,O,O,O,O
(주)아이피캠프,7,8,100.0,O,O,O,O,O,O,O,O
(주)큐빅테크,11,8,100.0,O,O,O,O,O,O,O,O
(주)카라멜라,55,8,100.0,O,O,O,O,O,O,O,O
(주)라임프렌즈승인,53,8,100.0,O,O,O,O,O,O,O,O
에이닷 주식회사,93,8,100.0,O,O,O,O,O,O,O,O
(주)골든플래닛,14 파일/API 농업,8,100.0,O,O,O,O,O,O,O,O
(주)브레인벤쳐스,8,8,100.0,O,O,O,O,O,O,O,O
(주)이지지오,7 파일/API 제조,8,100.0,O,O,O,O,O,O,O,O
주)원데이원커뮤니케이션,14 파일/API 스마트산업,8,100.0,O,O,O,O,O,O,O,O
인프라닉스(주),12,8,100.0,O,O,O,O,O,O,O,O
주식회사 디엔지니어,7,8,100.0,O,O,O,O,O,O,O,O
뉴로플로우 주식회사,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 컬리버,8,8,100.0,O,O,O,O,O,O,O,O
(주)자유로운소프트,11,8,100.0,O,O,O,O,O,O,O,O
(주)애마슈,8,8,100.0,O,O,O,O,O,O,O,O
캣벨컴퍼니 주식회사,25,8,100.0,O,O,O,O,O,O,O,O
(주)플랜아이,41,8,100.0,O,O,O,O,O,O,O,O
주식회사 도레미파,23,8,100.0,O,O,O,O,O,O,O,O
주식회사 아이클레이브,40,8,100.0,O,O,O,O,O,O,O,O
바운드포 주식회사,29,8,100.0,O,O,O,O,O,O,O,O
